9813:65,18532,17,55244,931,97068,9212,33619,67068,44797
12912:17,4262,84,861,289,650,76,354,6,97
43386:74138,28044,58821,27224,59911,56644,83640,57861,24871,17
30990:18867,138,70,17,76,226,449,1462,81,103713
4132:17,5465,616,14202,302,61,542,58,787,29
8264:9407,1758,545,73761,986,542,17,96367,59357,23950
11363:17,866,2292,5812,302,354,76,1462,6916,18239
15495:285,5567,17,616,302,654,76,1109,58,8
3100:302,101,616,76,84,29,354,650,1102,398
7232:50661,10039,890,5097,17,2139,4743,76,226,6229
15496:832,533,603,76253,535,8066,76,79756,30936,58411
17562:17,654,616,2101,302,1109,58,245,1119,572
24793:1592,924,76,17,866,302,654,616,58,8
38739:9289,17,866,76,616,302,654,58,8,40165
31508:48716,17,76,866,302,654,616,58,8,84
1551:616,8276,518,650,354,8,3234,162,554,736
5683:30991,719,1013,984,2153,574,8860,64427,1528,661
8782:5557,168,719,17121,9265,463,1400,8860,2642,2888
23244:17,302,58,654,217,616,100225,5702,650,8
2068:17,5567,1405,1451,559,1800,9617,3476,245,3728
4134:12084,44239,111949,202,34013,84266,122533,33892,103843,39380
16530:41961,17,245,12061,7491,508,1382,76,2030,131
1552:29723,19245,10906,13992,89980,15294,9095,8892,54372,110189
4651:302,17,654,616,58,650,2326,1558,29,859
34092:56697,27165,54479,48337,1489,10775,14504,83353,89028,104766
3102:574,1400,984,168,14754,7711,463,2153,5480,3927
13432:1572,787,17,302,654,58,29,616,518,105
16531:224,17,76,302,866,654,58,616,8,84
37708:17,76,302,866,654,616,58,84,8,29
31510:66646,98118,95444,95692,29327,53526,42547,24983,1353,101917
1553:518,1953,8683,17,616,654,58,302,542,483
7751:29,427,15141,654,1187,48,58,84,4420,616
11883:13183,35382,225,11825,14797,8364,17,76,302,654
14982:1832,17,302,616,654,5702,58,224,1023,333
22213:2121,1099,873,807,10702,31609,17,18704,6287,39000
46489:224,17,76,302,866,654,58,616,8,84
34093:7869,114230,24491,99539,1160,70386,69957,93840,110719,13903
2070:13580,84,542,15,1102,510,654,803,1403,2537
6202:17,654,302,564,650,429,12090,616,4697,2139
16532:11435,2444,48413,115251,20159,32244,37671,68914,17,2946
9818:17,302,76,866,654,58,8,616,84,29
11884:90981,49172,81,6824,86974,17734,1682,7776,5048,57836
35127:17,866,302,76,654,616,58,84,8,29
2071:650,302,2085,559,616,518,17123,58,70,354
10335:669,32315,6500,86264,49366,30916,18152,83186,106204,122178
13434:3207,15976,245,48,302,866,10046,1187,25783,33639
11885:4513,1002,14955,16036,4715,710,13,26848,6315,1256
12918:302,62776,17,616,29,289,322,101,650,12782
16017:52345,65260,17,79456,508,70,38412,226,16235,39487
40293:9655,15947,7950,4894,43930,16173,247,880,98723,24224
27897:46724,31295,58982,29509,118856,64671,109835,104176,122115,86186
2072:4364,1102,1119,302,18109,654,518,354,12937,2162
3105:17,654,58,302,238,591,4904,418,861,354
4138:124,17220,70,17,1119,2162,138,1023,302,780
8270:1109,10682,24676,17,12463,1650,8,2136,363,48507
13435:37694,361,17,1649,254,302,888,2139,546,59031
25831:9594,4671,7468,1223,27929,64669,37256,3955,13209,1077
42876:70,138,17,302,654,76,859,1023,354,81
32546:669,17,76,866,302,654,616,8,58,48823
28414:55262,76,17,866,654,302,616,8,58,84
27381:22511,74565,33432,8465,6491,17,76,302,654,616
9820:422,4268,12061,245,42414,12988,2030,17,105054,94970
6205:17,302,254,654,354,83629,546,20831,650,85748
13436:4640,46994,14600,25716,59405,23824,19433,93236,89820,74367
7:302,616,29,58,8,138,1762,518,650,866
30481:202,70,17,28926,76,780,3423,986,1884,1218
26349:14277,17,76,866,654,302,58,616,8,84
8788:58,5753,116,29,97,8276,46756,25946,84,861
10854:51617,13566,54897,78928,3492,107981,41850,63599,16689,23368
13953:17,5097,6759,890,1913,361,2008,4743,76,698
2074:4660,924,7926,5975,533,10180,4671,54442,82704,603
3107:521,6849,28943,18867,70,31762,1023,2967,76,140
4140:2337,61502,1326,168,1528,2869,76,20606,719,57044
7239:654,17,616,302,58,24323,564,8,518,33304
14470:17,58,1102,59199,654,29,354,518,616,899
15503:899,17,4420,6450,84,947,302,891,654,7506
30482:254,361,17,302,354,654,7194,84,76,58
2591:616,17,58,654,302,5575,45,542,1231,1393
6723:135,9491,168,7235,12657,984,661,46771,5480,4119
8789:117014,17,1352,76,94,10041,17692,1382,25987,37709
16020:7120,17,866,76,302,654,8,43805,616,58
17053:616,17,88492,302,654,58,1684,37600,25764,7770
525:116,1187,302,875,84,70,564,654,245,616
32032:16632,17,1550,650,302,616,409,236,58,866
26867:64825,17,76,866,654,302,84,616,8,58
2075:302,548,3476,654,28,84,542,8,56192,15
6207:39546,654,616,302,58,84,354,239,24323,866
10339:58,119,559,9617,654,875,29,1119,616,518
47011:25979,7409,167,89680,102699,18441,37224,63648,121134,105661
41846:32,209,616,17,8,302,84,518,1109,654
33582:103141,2898,30598,17,76,58,302,616,654,8
27384:18260,36326,40228,33192,3003,9669,109593,83213,25800,7575
1559:302,5991,616,654,29,289,76,354,15,239
